"Speaker","Word","approximants","Begin_Time_s","End_Time_s","Duration_ms","F0_20","F0_50","F0_80","F1_20","F1_50","F1_80","F2_20","F2_50","F2_80","F3_20","F3_50","F3_80","appsequence","vocalic","POA","Education","Age","Gender","POB","Manner","approximants_only"
"Ogbomoso1","Newton","j",1.179067315,1.186438662,7.371347335,228.3083173,228.1031465,233.8893141,1388.470662,1377.805701,1367.14074,2207.884088,2209.736148,2211.588209,3270.432542,3289.891493,3309.350443,"jV","prevocalic","palatal","Degree","Young adult","female","south-west","glide","j"
"Ogbomoso1","runs","r",1.48,1.573039878,93.03987789,253.6913611,251.3916416,248.506208,300.619561,416.304882,1576.770542,1642.133495,1643.975298,2455.822263,2371.405839,2551.237182,3596.42394,"rV","prevocalic","palatal","Degree","Young adult","female","south-west","liquid","r"
"Ogbomoso1","new","j",4.46,4.49,30,200.1387135,203.1064142,206.0606657,341.7905099,282.1946875,243.0896007,1851.810772,1839.743377,1564.483359,2827.929505,2877.967119,2866.249559,"jV","prevocalic","palatal","Degree","Young adult","female","south-west","glide","j"
"Ogbomoso1","Europe","j",5.205970045,5.319869941,113.8998965,195.7308592,178.3129688,173.9497003,300.0750481,363.9146503,355.144302,1939.181012,2272.871242,2066.075921,3118.834315,2933.340584,2541.485243,"jV","prevocalic","palatal","Degree","Young adult","female","south-west","glide","j"
"Ogbomoso1","Europe","r",5.37,5.411824005,41.82400489,163.5013995,162.2081607,160.6845397,386.8324636,351.7859297,360.5238964,1439.574479,1692.416443,1499.261812,2192.558255,2271.358905,2258.545903,"rV","prevocalic","palatal","Degree","Young adult","female","south-west","liquid","r"
"Ogbomoso1","music","j",6.27,6.3,30,240.9968904,246.6463835,251.4633448,386.9652386,352.9634363,313.9515858,2115.549367,2073.647488,2044.987265,2838.077723,2866.417532,2937.003989,"jV","prevocalic","palatal","Degree","Young adult","female","south-west","glide","j"
"Ogbomoso1","quite","w",7.065213469,7.101614467,36.40099784,217.3968107,214.8390068,212.2102504,438.2857975,431.9975475,424.4961392,1504.238314,1371.981467,1417.308901,2632.329317,2668.255742,2638.113823,"wV","prevocalic","bilabial","Degree","Young adult","female","south-west","glide","w"
"Ogbomoso1","quite","w",7.85,7.89,40,226.7665213,223.3586965,222.0980651,683.6205632,708.9842134,697.4859889,1357.838457,1392.32707,1472.668975,1819.884897,1727.241117,2029.199823,"wV","prevocalic","bilabial","Degree","Young adult","female","south-west","glide","w"
"Ogbomoso1","quickly","w",8.19,8.22,30,214.2990466,211.7060045,210.3610923,360.2974953,389.0780177,387.297661,2048.025791,2133.246012,2166.016102,2693.980714,2747.931943,2721.574501,"wV","prevocalic","bilabial","Degree","Young adult","female","south-west","glide","w"
"Ogbomoso1","lyrics","l",9.6,9.66,60,162.0181868,161.5549284,167.2830039,320.1378908,312.2737908,447.1933676,1628.380855,1919.099034,1982.738608,2839.20909,2861.456095,2888.723544,"lV","prevocalic","lateral","Degree","Young adult","female","south-west","liquid","l"
"Ogbomoso1","lyrics","r",9.76,9.79,30,177.1390106,177.1087601,177.0906025,363.562111,356.319265,357.0139665,2088.666307,2064.866472,2021.098783,3088.105813,2807.454297,2671.484775,"rV","prevocalic","palatal","Degree","Young adult","female","south-west","liquid","r"
"Ogbomoso1","queues","j",10.78,10.89,110,263.6984154,274.0357715,273.6912237,277.5689284,394.3328526,461.7476524,1944.987374,1955.368717,981.4865044,2639.903172,2400.470885,2695.994796,"jV","prevocalic","palatal","Degree","Young adult","female","south-west","glide","j"
"Ogbomoso1","young","j",11.22,11.32,100,212.1597039,215.7665995,222.2372608,419.9685393,421.5821344,551.2316238,2052.90402,1683.303702,1252.708052,3349.971767,1789.057049,1865.663096,"jV","prevocalic","palatal","Degree","Young adult","female","south-west","glide","j"
"Ogbomoso1","pew","j",12.22,12.26,40,NA,233.6974928,225.7988784,500.0653717,290.2721022,301.7114388,2461.051915,2272.056826,2080.520513,3074.002476,3044.996767,2996.395257,"jV","prevocalic","palatal","Degree","Young adult","female","south-west","glide","j"
"Ogbomoso1","muse","j",12.48,12.54,60,195.5211475,194.6754842,193.5746529,407.1232476,331.1302462,411.8462725,2485.889082,1962.731758,1913.462046,2858.990088,2780.928297,3009.336155,"jV","prevocalic","palatal","Degree","Young adult","female","south-west","glide","j"
"Ogbomoso1","quails","w",13.78,13.84,60,206.4981794,198.3317114,193.4462505,409.2043097,395.0108412,383.4046181,1462.403548,1767.57487,1914.697692,2499.058408,2593.94209,2506.404146,"wV","prevocalic","bilabial","Degree","Young adult","female","south-west","glide","w"
"Ogbomoso1","Queen","w",14.7,14.73,30,179.3734445,178.6256033,177.4882829,471.0525681,449.8017533,396.0813788,1681.928845,1760.31664,1643.7823,2662.144743,2746.185233,2715.681025,"wV","prevocalic","bilabial","Degree","Young adult","female","south-west","glide","w"
"Ogbomoso1","Queen","w",15.68,15.71,30,252.3801905,255.6686345,259.1615712,417.8901487,423.2921784,419.3886009,1856.348073,1739.182361,1916.75728,3123.457657,2430.515312,2673.31456,"wV","prevocalic","bilabial","Degree","Young adult","female","south-west","glide","w"
"Ogbomoso1","swallows","w",17.71085755,17.75,39.1424504,223.7387505,217.8422803,209.5978808,372.8967504,419.3895182,466.5445396,1416.015501,1275.450015,1176.485845,3659.670683,3158.229749,2778.554186,"wV","prevocalic","bilabial","Degree","Young adult","female","south-west","glide","w"
"Ogbomoso1","few","j",18.33,18.37,40,204.2430778,203.7273725,201.5618615,270.2931014,260.5104441,263.3582964,1519.937961,2171.509665,1452.948055,2670.907934,2611.214586,2604.929047,"jV","prevocalic","palatal","Degree","Young adult","female","south-west","glide","j"
"Ogbomoso1","eulogy","j",19.03,19.06,30,191.8267219,191.1886764,188.0920226,241.4194201,352.0299749,677.23071,1337.798994,1057.297319,1713.540869,2611.749418,2522.96611,3163.550384,"jV","prevocalic","palatal","Degree","Young adult","female","south-west","glide","j"
"Ogbomoso1","words","w",19.52,19.55,30,167.8306654,165.8425544,163.4566204,525.0622484,523.3240845,539.637839,1460.086708,1445.213607,1445.216279,2607.044013,2742.732831,2636.178954,"wV","prevocalic","bilabial","Degree","Young adult","female","south-west","glide","w"
"Ogbomoso1","stew","j",21.99,22.03,40,218.4950926,217.4554347,216.9741394,368.3449917,370.5054105,395.0407486,2285.598453,2513.057522,2467.027303,3005.482028,3454.445759,3011.075642,"jV","prevocalic","palatal","Degree","Young adult","female","south-west","glide","j"
"Ogbomoso1","clockwise","l",25.88,25.92,40,192.0746292,187.8359842,185.9458126,395.7661399,489.6020731,534.1949316,1548.956888,1513.963483,1455.75991,2810.273538,2736.601524,2748.055,"lV","prevocalic","lateral","Degree","Young adult","female","south-west","liquid","l"
"Ogbomoso1","clockwise","w",26.09211037,26.13085982,38.74944931,202.7723241,196.2004826,193.051377,370.2441598,390.7405805,420.6047336,1082.367822,1048.608216,1044.303875,2727.301053,2725.601354,2613.751857,"wV","prevocalic","bilabial","Degree","Young adult","female","south-west","glide","w"
"Ogbomoso1","runaway","w",26.69,26.73040283,40.40283325,164.2877493,167.5765338,168.2813146,363.3366547,361.5538561,363.2426836,1592.331702,1675.851521,1319.190508,2708.750393,3054.459609,2789.357135,"wV","prevocalic","bilabial","Degree","Young adult","female","south-west","glide","w"
"Ogbomoso1","fellows","l",27.96362226,27.98828101,24.65874047,177.9317105,179.6077554,179.2541816,477.2851256,456.5518977,440.6798693,1839.568989,1772.420872,1744.989627,2579.96622,2701.634268,2659.561189,"lV","prevocalic","lateral","Degree","Young adult","female","south-west","liquid","l"
"Ogbomoso1","roof-like","r",30.66,30.7,40,212.8810713,214.9369547,217.7470336,404.7640204,391.6985532,385.0706528,1647.794916,2651.368447,2066.28059,3213.19863,3259.362601,3269.466287,"rV","prevocalic","palatal","Degree","Young adult","female","south-west","liquid","r"
"Ogbomoso1","roof-like","l",30.9,30.93072661,30.72660514,178.2752888,178.3295307,178.9982594,366.3605215,373.6335999,391.7331725,1690.423894,1651.308924,1667.247824,2836.846319,2826.490876,2767.185273,"lV","prevocalic","lateral","Degree","Young adult","female","south-west","liquid","l"
"Ogbomoso1","narrow","r",32.22,32.33,110,261.5081754,266.1037705,270.639894,588.1096194,473.4721261,469.2566037,1694.153564,1393.044726,1343.097602,2491.756084,1804.945012,2188.045838,"rV","prevocalic","palatal","Degree","Young adult","female","south-west","liquid","r"
"Ogbomoso1","window","w",32.43,32.51,80,230.459014,228.1918548,227.2530772,424.075859,441.1821933,418.9301192,753.4811663,2531.031966,2306.364414,2575.181214,2674.874605,2598.43772,"wV","prevocalic","bilabial","Degree","Young adult","female","south-west","glide","w"
"Ogbomoso1","Newton","j",37.66,37.72,60,191.5956953,193.7047394,193.7053079,392.671847,397.9780359,399.8241969,2310.291616,1775.756201,1198.038299,2625.452297,2696.970503,2689.231264,"jV","prevocalic","palatal","Degree","Young adult","female","south-west","glide","j"
"Ogbomoso1","sparrow","r",42.34,42.39541301,55.41301304,211.8514889,212.4458506,213.1456417,436.5304703,429.3386596,411.3710712,1601.723633,1458.636016,1495.537615,2096.735971,2093.945442,2130.203659,"rV","prevocalic","palatal","Degree","Young adult","female","south-west","liquid","r"
"Ogbomoso1","write","r",45.09,45.1613603,71.36029664,200.8118699,204.1061626,209.592472,630.7913939,680.3267603,699.7805032,1784.464087,1856.855186,1878.890731,2518.210879,2562.401124,2612.383523,"rV","prevocalic","palatal","Degree","Young adult","female","south-west","liquid","r"
"Ogbomoso1","history","r",45.61,45.64,30,224.8218508,223.3677966,221.1961783,391.8687945,396.3989032,409.412153,2037.044181,2021.234472,1995.406236,2494.742245,2470.106205,2503.425748,"rV","prevocalic","palatal","Degree","Young adult","female","south-west","liquid","r"
"Ogbomoso1","race","r",46.19,46.22,30,178.6224777,178.0344852,179.9943017,385.8491807,383.0564622,381.6892097,2041.592697,2035.078129,1946.684906,2836.285159,2557.085509,2513.819139,"rV","prevocalic","palatal","Degree","Young adult","female","south-west","liquid","r"
"Ogbomoso1","follow","l",47.38,47.46,80,193.7265971,194.7149452,193.1400035,411.9783411,388.2008856,395.6517373,1325.708827,1277.132112,1283.075737,2639.243639,2777.760127,2658.048698,"lV","prevocalic","lateral","Degree","Young adult","female","south-west","liquid","l"
"Ogbomoso1","Lord","l",47.73,47.8006939,70.69389999,169.314071,168.2588612,166.831837,489.2132102,484.5185486,480.4166874,1316.938176,1216.134523,1253.176558,2764.559464,2774.782404,2724.044665,"lV","prevocalic","lateral","Degree","Young adult","female","south-west","liquid","l"
"Ogbomoso1","break","r",49.01,49.04,30,205.1379859,209.3041551,211.5537653,394.3483439,408.0845871,408.98099,2056.426679,2076.474414,2088.82548,2377.329189,2437.695375,2493.368294,"rV","prevocalic","palatal","Degree","Young adult","female","south-west","liquid","r"
"Ogbomoso1","fallow","l",49.84,49.87,30,183.5211711,184.1153523,185.1505636,672.6805483,679.1788797,618.8154595,1500.794422,1514.010521,1528.375957,2725.978943,2740.643454,2735.343077,"lV","prevocalic","lateral","Degree","Young adult","female","south-west","liquid","l"
"Ogbomoso1","ground","r",50.1,50.13,30,176.0401572,174.8492781,174.2909828,588.6112222,605.9355611,616.8025415,1667.022555,1638.431736,1621.752618,2320.017992,2332.770809,2371.920516,"rV","prevocalic","palatal","Degree","Young adult","female","south-west","liquid","r"
"Ogbomoso1","read","r",52.26,52.31,50,210.7754181,214.2862852,217.1240763,392.6986796,375.7072252,377.3319436,2270.139585,1436.779939,1956.577694,2674.079303,2562.399967,2562.611768,"rV","prevocalic","palatal","Degree","Young adult","female","south-west","liquid","r"
"Ogbomoso1","below","l",53.92375018,54.02238515,98.63496189,164.6750813,164.7924315,169.193934,346.8447402,346.8113267,344.1788128,1180.42293,1722.879712,1782.867293,2708.484334,2855.123475,3049.492015,"lV","prevocalic","lateral","Degree","Young adult","female","south-west","liquid","l"
"Ogbomoso1","the","j",54.61,54.71,100,161.489489,164.1495649,163.0044371,321.2646803,327.3723671,352.0008255,1971.202406,2532.227005,2111.019341,3203.927,2677.053579,2689.11296,"jV","prevocalic","palatal","Degree","Young adult","female","south-west","glide","j"
"Ogbomoso1","year","r",55.84838583,55.88243838,34.05254637,196.0514513,197.5017958,198.8831385,385.3721116,385.4383365,389.0554845,1810.637657,1843.46287,1955.593566,2148.146728,2154.115891,2147.016694,"rV","prevocalic","palatal","Degree","Young adult","female","south-west","liquid","r"
"Ogbomoso1","read","r",56.89798074,56.9649116,66.930867,199.3127803,195.5477709,196.8347758,435.9007657,421.8960689,509.2275242,1870.920594,1763.226845,1759.5665,2160.375479,2123.617519,2127.873385,"rV","prevocalic","palatal","Degree","Young adult","female","south-west","liquid","r"
"Ogbomoso1","read","r",57.92745209,57.97559534,48.14325521,202.9092447,191.3116085,192.7547974,415.1308167,417.1519493,439.312362,1869.849874,1855.639282,1896.583157,2274.820362,2113.715783,2135.012959,"rV","prevocalic","palatal","Degree","Young adult","female","south-west","liquid","r"
"Ogbomoso1","race","r",58.85124312,58.91347708,62.23396405,190.48188,191.1931696,194.4176135,387.7728628,394.6614842,402.533066,1853.203797,1840.375212,1908.571764,2169.773122,2215.166189,2220.120711,"rV","prevocalic","palatal","Degree","Young adult","female","south-west","liquid","r"
"Ogbomoso1","wrap","r",59.75940476,59.87213043,112.7256707,190.4302176,192.4414312,193.8895987,391.7748687,413.5985061,471.9091934,1730.397523,1788.917486,1765.196455,2061.842498,2093.050605,2104.616759,"rV","prevocalic","palatal","Degree","Young adult","female","south-west","liquid","r"
"Ogbomoso1","trade","r",60.73,60.81823171,88.23171356,200.6572857,195.929712,188.3087833,381.5147153,384.9164575,392.5707994,1853.7594,1920.070143,1904.602049,2299.206518,2410.292574,2432.000115,"rV","prevocalic","palatal","Degree","Young adult","female","south-west","liquid","r"
"Ogbomoso1","sparrow","r",61.79,61.90171745,111.7174466,200.4082122,194.5054919,188.2973989,466.6277751,515.600417,477.8198959,1642.293044,1618.947043,1684.567709,2037.079369,2109.490771,2226.977672,"rV","prevocalic","palatal","Degree","Young adult","female","south-west","liquid","r"
"Ogbomoso1","lyric","l",62.48,62.51,30,200.1747716,206.4545724,204.0885448,314.4904496,329.5519163,352.8677158,1903.975218,2112.138303,2164.342606,2631.81739,2751.902362,2850.328244,"lV","prevocalic","lateral","Degree","Young adult","female","south-west","liquid","l"
